Name,Money,Display size,Display resolution,Touchscreen,Processor,RAM,OS,Hard disk,SSD,Graphics,Weight
HP 14s (2020),"49,999",14.00-inch,1920x1080 pixels,,Core i3,4GB,Windows 10 Home,1TB,,,1.53 kg
Asus VivoBook 14 X412FA-EK295T,"49,990",14.00-inch,1920x1080 pixels,No,Core i5,8GB,Windows 10 Home,,512GB,Integrated Graphics Processor,1.50 kg
HP NoteBook 14-DF0010NR,"49,847",14.00-inch,226x32.4 pixels,,Pentium Dual Core,4GB,Windows 10,No,128GB,,1.36 kg
HP 15-DB0076NR,"49,220",15.60-inch,1920x1080 pixels,,Ryzen 3,8GB,Windows 10,500GB,No,,2.04 kg
Lenovo IdeaPad 330E-15IKB,"49,500",15.60-inch,1920x1080 pixels,No,Core i5,8GB,DOS,2TB,No,Intel Integrated HD Graphics 620,2.20 kg
HP 15Q-BU101TU,"49,257",15.60-inch,1366x768 pixels,No,Core i5,8GB,Windows 10,1TB,No,Intel HD Graphics 620,1.95 kg
HP ChromeBook 14,"49,862",14.00-inch,1366x768 pixels,,Celeron Dual Core,4GB,Chrome OS,No,16GB,,2.16 kg
Asus VivoBook F441BA-DS95,"49,323",14.00-inch,1920x1080 pixels,,,8GB,Windows 10,No,256GB,AMD Radeon R5,1.77 kg
Lenovo IdeaPad N3540,"49,564",15.60-inch,1366x768 pixels,,Pentium Dual Core,4GB,Windows 10,500GB,No,Intel HD Graphics,
HP 15Q-DS0010TU,"49,990",15.60-inch,1920x1080 pixels,No,Core i5,8GB,Windows 10,1TB,No,Intel Integrated UHD Graphics 620,1.77 kg
Microsoft Surface Pro M1796-KJR-00015,"49,990",12.50-inch,2736x1824 pixels,Yes,Core i5,8GB,Windows 10,No,128GB,Intel Integrated HD Graphics,
Asus VivoBook R558UQ-DM701D,"49,281",15.60-inch,1920x1080 pixels,No,Core i7,8GB,DOS,1TB,No,Nvidia GeForce 940MX,2.20 kg
Asus VivoBook R558UQ-DM1106D,"49,281",15.60-inch,1920x1080 pixels,No,Core i7,8GB,DOS,1TB,No,Nvidia GeForce 940MX,2.20 kg
MSI PE62-7RE-2024XIN,"49,990",15.60-inch,1920x1080 pixels,,Core i7,8GB,DOS,1TB,No,,2.20 kg
HP 15-AB030TX,"50,000",15.60-inch,,,Core i5,8GB,Windows 8,1TB,No,,
Dell Vostro 2420,"50,000",14.00-inch,,No,Core i3,2GB,Linux,500GB,No,Intel Integrated HD Graphics,2.19 kg
Lenovo IdeaPad U510 59-389403,"49,900",,,,Core i5,4GB,Windows 8,1TB,No,,
Acer Aspire X349-M,"49,449",14.00-inch,1366x768 pixels,No,Core i3,4GB,Windows 10 Home,No,128GB,Intel Integrated HD Graphics 520,1.56 kg
Dell Latitude E5250,"49,900",12.50-inch,1366x768 pixels,No,Core i3,4GB,Windows 10,256GB,No,Intel Integrated HD Graphics,2.00 kg
Asus S551LB-CJ289H,"49,990",15.60-inch,1366x768 pixels,,Core i5,4GB,Windows 8.1,1TB,No,AMD Radeon R2,2.40 kg
HP Pavilion 15-AU639TX,"49,700",15.60-inch,1920x1080 pixels,,Core i7,4GB,Linux,No,No,,
Lenovo IdeaPad N405,"49,228",14.00-inch,1366x768 pixels,No,,4GB,Windows 8,500GB,No,,1.60 kg
HP 15-BR105TX,"49,186",15.60-inch,1920x1080 pixels,No,Core i5,8GB,Windows 10,1TB,No,AMD Radeon 520 Graphics,
Dell Latitude E5470,"49,999",14.00-inch,,,Core i5,8GB,Windows 10,No,128GB,Intel HD Graphics,1.76 kg
HP 15G-BR104TX,"49,490",15.60-inch,1920x1080 pixels,No,Core i5,8GB,Windows 10,1TB,No,AMD Radeon 520 Graphics,2.10 kg
HP ProBook X360 11-G1-EE,"49,891",11.60-inch,1366x768 pixels,Yes,Celeron Dual Core,4GB,Windows 10 Professional,256GB,No,Intel Integrated HD Graphics,1.44 kg
HP Pavilion 15-AU007TX,"49,990",15.60-inch,1366x768 pixels,No,Core i5,8GB,Windows 10,1TB,No,Nvidia GeForce 940MX,
Dell Latitude 5580,"50,000",15.60-inch,,,Core i5,8GB,Windows 10 Professional,No,512GB,,3.08 kg
Asus R541UJ-DM265,"50,000",15.60-inch,1920x1080 pixels,No,Core i5,8GB,DOS,No,No,Nvidia,1.90 kg
Lenovo N22,"49,724",11.60-inch,,,Celeron Dual Core,4GB,Windows 10,No,64GB,Intel Integrated Graphics,1.27 kg
