Title,Celebrities,Movie Reference,Release Date,Imdb Rating
Network,"Sidney Lumet (dir.), Faye Dunaway, William Holden",https://www.imdb.com/title/tt0074958/,1976,8.1
Cool Hand Luke,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",https://www.imdb.com/title/tt0061512/,1967,8.1
Dead Poets Society,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",https://www.imdb.com/title/tt0097165/,1989,8.1
Ben-Hur,"William Wyler (dir.), Charlton Heston, Jack Hawkins",https://www.imdb.com/title/tt0052618/,1959,8.1
Hachi: A Dog's Tale,"Lasse Hallström (dir.), Richard Gere, Joan Allen",https://www.imdb.com/title/tt1028532/,2009,8.1
Harry Potter and the Deathly Hallows: Part 2,"David Yates (dir.), Daniel Radcliffe, Emma Watson",https://www.imdb.com/title/tt1201607/,2011,8.1
Platoon,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",https://www.imdb.com/title/tt0091763/,1986,8.1
Into the Wild,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",https://www.imdb.com/title/tt0758758/,2007,8.1
Logan,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",https://www.imdb.com/title/tt3315342/,2017,8.1
Le salaire de la peur,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",https://www.imdb.com/title/tt0046268/,1953,8.0
Life of Brian,"Terry Jones (dir.), Graham Chapman, John Cleese",https://www.imdb.com/title/tt0079470/,1979,8.0
Rush,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",https://www.imdb.com/title/tt1979320/,2013,8.0
Ah-ga-ssi,"Chan-wook Park (dir.), Min-hee Kim, Jung-woo Ha",https://www.imdb.com/title/tt4016934/,2016,8.0
Les quatre cents coups,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",https://www.imdb.com/title/tt0053198/,1959,8.0
La passion de Jeanne d'Arc,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",https://www.imdb.com/title/tt0019254/,1928,8.0
Andrei Rublev,"Andrei Tarkovsky (dir.), Anatoliy Solonitsyn, Ivan Lapikov",https://www.imdb.com/title/tt0060107/,1966,8.0
Hotel Rwanda,"Terry George (dir.), Don Cheadle, Sophie Okonedo",https://www.imdb.com/title/tt0395169/,2004,8.0
Spotlight,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",https://www.imdb.com/title/tt1895587/,2015,8.0
Amores perros,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",https://www.imdb.com/title/tt0245712/,2000,8.0
La haine,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",https://www.imdb.com/title/tt0113247/,1995,8.0
Du rififi chez les hommes,"Jules Dassin (dir.), Jean Servais, Carl Möhner",https://www.imdb.com/title/tt0048021/,1955,8.0
Kaze no tani no Naushika,"Hayao Miyazaki (dir.), Sumi Shimamoto, Mahito Tsujimura",https://www.imdb.com/title/tt0087544/,1984,8.0
Rocky,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",https://www.imdb.com/title/tt0075148/,1976,8.0
Gangs of Wasseypur,"Anurag Kashyap (dir.), Manoj Bajpayee, Richa Chadha",https://www.imdb.com/title/tt1954470/,2012,8.0
"Monsters, Inc.","Pete Docter (dir.), Billy Crystal, John Goodman",https://www.imdb.com/title/tt0198781/,2001,8.0
Rebecca,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",https://www.imdb.com/title/tt0032976/,1940,8.0
Rang De Basanti,"Rakeysh Omprakash Mehra (dir.), Aamir Khan, Soha Ali Khan",https://www.imdb.com/title/tt0405508/,2006,8.0
Before Sunset,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",https://www.imdb.com/title/tt0381681/,2004,8.0
Portrait de la jeune fille en feu,"Céline Sciamma (dir.), Noémie Merlant, Adèle Haenel",https://www.imdb.com/title/tt8613070/,2019,8.0
Fa yeung nin wah,"Kar-Wai Wong (dir.), Tony Chiu-Wai Leung, Maggie Cheung",https://www.imdb.com/title/tt0118694/,2000,8.0
"Paris, Texas","Wim Wenders (dir.), Harry Dean Stanton, Nastassja Kinski",https://www.imdb.com/title/tt0087884/,1984,8.0
It Happened One Night,"Frank Capra (dir.), Clark Gable, Claudette Colbert",https://www.imdb.com/title/tt0025316/,1934,8.0
Drishyam,"Nishikant Kamat (dir.), Ajay Devgn, Shriya Saran",https://www.imdb.com/title/tt4430212/,2015,8.0
Contratiempo,"Oriol Paulo (dir.), Mario Casas, Ana Wagener",https://www.imdb.com/title/tt4857264/,2016,8.0
The Princess Bride,"Rob Reiner (dir.), Cary Elwes, Mandy Patinkin",https://www.imdb.com/title/tt0093779/,1987,8.0
The Help,"Tate Taylor (dir.), Emma Stone, Viola Davis",https://www.imdb.com/title/tt1454029/,2011,8.0
The Circus,"Charles Chaplin (dir.), Charles Chaplin, Merna Kennedy",https://www.imdb.com/title/tt0018773/,1928,8.0
La battaglia di Algeri,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin",https://www.imdb.com/title/tt0058946/,1966,8.0
The Terminator,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",https://www.imdb.com/title/tt0088247/,1984,8.0
Koe no katachi,"Naoko Yamada (dir.), Miyu Irino, Saori Hayami",https://www.imdb.com/title/tt5323662/,2016,8.0
Aladdin,"Ron Clements (dir.), Scott Weinger, Robin Williams",https://www.imdb.com/title/tt0103639/,1992,8.0
Kis Uykusu,"Nuri Bilge Ceylan (dir.), Haluk Bilginer, Melisa Sözen",https://www.imdb.com/title/tt2758880/,2014,8.0
