Title,Celebrities,Movie Reference,Release Date,Imdb Rating
Gisaengchung,"Bong Joon Ho (dir.), Kang-ho Song, Sun-kyun Lee",https://www.imdb.com/title/tt6751668/,2019,8.5
Léon,"Luc Besson (dir.), Jean Reno, Gary Oldman",https://www.imdb.com/title/tt0110413/,1994,8.5
The Usual Suspects,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne",https://www.imdb.com/title/tt0114814/,1995,8.5
Seppuku,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama",https://www.imdb.com/title/tt0056058/,1962,8.5
The Lion King,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons",https://www.imdb.com/title/tt0110357/,1994,8.5
Back to the Future,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd",https://www.imdb.com/title/tt0088763/,1985,8.5
The Pianist,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann",https://www.imdb.com/title/tt0253474/,2002,8.5
Terminator 2: Judgment Day,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",https://www.imdb.com/title/tt0103064/,1991,8.5
American History X,"Tony Kaye (dir.), Edward Norton, Edward Furlong",https://www.imdb.com/title/tt0120586/,1998,8.5
Modern Times,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",https://www.imdb.com/title/tt0027977/,1936,8.5
Psycho,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh",https://www.imdb.com/title/tt0054215/,1960,8.5
Gladiator,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix",https://www.imdb.com/title/tt0172495/,2000,8.5
City Lights,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill",https://www.imdb.com/title/tt0021749/,1931,8.5
The Departed,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon",https://www.imdb.com/title/tt0407887/,2006,8.5
The Intouchables,"Olivier Nakache (dir.), François Cluzet, Omar Sy",https://www.imdb.com/title/tt1675434/,2011,8.5
Whiplash,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons",https://www.imdb.com/title/tt2582802/,2014,8.5
Hamilton,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo",https://www.imdb.com/title/tt8503618/,2020,8.5
The Prestige,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman",https://www.imdb.com/title/tt0482571/,2006,8.5
Hotaru no haka,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi",https://www.imdb.com/title/tt0095327/,1988,8.5
Once Upon a Time in the West,"Sergio Leone (dir.), Henry Fonda, Charles Bronson",https://www.imdb.com/title/tt0064116/,1968,8.4
Casablanca,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman",https://www.imdb.com/title/tt0034583/,1942,8.4
Nuovo Cinema Paradiso,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale",https://www.imdb.com/title/tt0095765/,1988,8.4
Rear Window,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly",https://www.imdb.com/title/tt0047396/,1954,8.4
Alien,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",https://www.imdb.com/title/tt0078748/,1979,8.4
Apocalypse Now,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando",https://www.imdb.com/title/tt0078788/,1979,8.4
Memento,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",https://www.imdb.com/title/tt0209144/,2000,8.4
The Great Dictator,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",https://www.imdb.com/title/tt0032553/,1940,8.4
Raiders of the Lost Ark,"Steven Spielberg (dir.), Harrison Ford, Karen Allen",https://www.imdb.com/title/tt0082971/,1981,8.4
Django Unchained,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",https://www.imdb.com/title/tt1853728/,2012,8.4
The Lives of Others,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",https://www.imdb.com/title/tt0405094/,2006,8.4
Joker,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",https://www.imdb.com/title/tt7286456/,2019,8.4
Paths of Glory,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",https://www.imdb.com/title/tt0050825/,1957,8.4
WALL·E,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",https://www.imdb.com/title/tt0910970/,2008,8.4
The Shining,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",https://www.imdb.com/title/tt0081505/,1980,8.4
Avengers: Infinity War,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",https://www.imdb.com/title/tt4154756/,2018,8.4
Sunset Blvd.,"Billy Wilder (dir.), William Holden, Gloria Swanson",https://www.imdb.com/title/tt0043014/,1950,8.4
Witness for the Prosecution,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",https://www.imdb.com/title/tt0051201/,1957,8.4
Spider-Man: Into the Spider-Verse,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",https://www.imdb.com/title/tt4633694/,2018,8.4
Mononoke-hime,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",https://www.imdb.com/title/tt0119698/,1997,8.4
Oldeuboi,"Chan-wook Park (dir.), Min-sik Choi, Ji-Tae Yoo",https://www.imdb.com/title/tt0364569/,2003,8.4
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",https://www.imdb.com/title/tt0057012/,1964,8.3
The Dark Knight Rises,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",https://www.imdb.com/title/tt1345836/,2012,8.3
Once Upon a Time in America,"Sergio Leone (dir.), Robert De Niro, James Woods",https://www.imdb.com/title/tt0087843/,1984,8.3
Aliens,"James Cameron (dir.), Sigourney Weaver, Michael Biehn",https://www.imdb.com/title/tt0090605/,1986,8.3
Kimi no na wa.,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",https://www.imdb.com/title/tt5311514/,2016,8.3
Avengers: Endgame,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",https://www.imdb.com/title/tt4154796/,2019,8.3
Coco,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",https://www.imdb.com/title/tt2380307/,2017,8.3
American Beauty,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",https://www.imdb.com/title/tt0169547/,1999,8.3
Braveheart,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",https://www.imdb.com/title/tt0112573/,1995,8.3
3 Idiots,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",https://www.imdb.com/title/tt1187043/,2009,8.3
Das Boot,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",https://www.imdb.com/title/tt0082096/,1981,8.3
Toy Story,"John Lasseter (dir.), Tom Hanks, Tim Allen",https://www.imdb.com/title/tt0114709/,1995,8.3
Tengoku to jigoku,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",https://www.imdb.com/title/tt0057565/,1963,8.3
Amadeus,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",https://www.imdb.com/title/tt0086879/,1984,8.3
Capharnaüm,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",https://www.imdb.com/title/tt8267604/,2018,8.3
Inglourious Basterds,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",https://www.imdb.com/title/tt0361748/,2009,8.3
Star Wars: Episode VI - Return of the Jedi,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",https://www.imdb.com/title/tt0086190/,1983,8.3
Taare Zameen Par,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",https://www.imdb.com/title/tt0986264/,2007,8.3
Good Will Hunting,"Gus Van Sant (dir.), Robin Williams, Matt Damon",https://www.imdb.com/title/tt0119217/,1997,8.3
Reservoir Dogs,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",https://www.imdb.com/title/tt0105236/,1992,8.3
2001: A Space Odyssey,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",https://www.imdb.com/title/tt0062622/,1968,8.3
Requiem for a Dream,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",https://www.imdb.com/title/tt0180093/,2000,8.3
Vertigo,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",https://www.imdb.com/title/tt0052357/,1958,8.3
M - Eine Stadt sucht einen Mörder,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",https://www.imdb.com/title/tt0022100/,1931,8.3
Eternal Sunshine of the Spotless Mind,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",https://www.imdb.com/title/tt0338013/,2004,8.3
Dangal,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",https://www.imdb.com/title/tt5074352/,2016,8.3
Jagten,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",https://www.imdb.com/title/tt2106476/,2012,8.3
Citizen Kane,"Orson Welles (dir.), Orson Welles, Joseph Cotten",https://www.imdb.com/title/tt0033467/,1941,8.3
1917,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",https://www.imdb.com/title/tt8579674/,2019,8.3
Full Metal Jacket,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",https://www.imdb.com/title/tt0093058/,1987,8.2
Ladri di biciclette,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",https://www.imdb.com/title/tt0040522/,1948,8.2
The Kid,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",https://www.imdb.com/title/tt0012349/,1921,8.2
Singin' in the Rain,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",https://www.imdb.com/title/tt0045152/,1952,8.2
A Clockwork Orange,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",https://www.imdb.com/title/tt0066921/,1971,8.2
North by Northwest,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",https://www.imdb.com/title/tt0053125/,1959,8.2
Snatch,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",https://www.imdb.com/title/tt0208092/,2000,8.2
Scarface,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",https://www.imdb.com/title/tt0086250/,1983,8.2
Taxi Driver,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",https://www.imdb.com/title/tt0075314/,1976,8.2
Ikiru,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",https://www.imdb.com/title/tt0044741/,1952,8.2
Lawrence of Arabia,"David Lean (dir.), Peter O'Toole, Alec Guinness",https://www.imdb.com/title/tt0056172/,1962,8.2
Amélie,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",https://www.imdb.com/title/tt0211915/,2001,8.2
Toy Story 3,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",https://www.imdb.com/title/tt0435761/,2010,8.2
The Sting,"George Roy Hill (dir.), Paul Newman, Robert Redford",https://www.imdb.com/title/tt0070735/,1973,8.2
Metropolis,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",https://www.imdb.com/title/tt0017136/,1927,8.2
Jodaeiye Nader az Simin,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",https://www.imdb.com/title/tt1832382/,2011,8.2
Incendies,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",https://www.imdb.com/title/tt1255953/,2010,8.2
Per qualche dollaro in più,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",https://www.imdb.com/title/tt0059578/,1965,8.2
Idi i smotri,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",https://www.imdb.com/title/tt0091251/,1985,8.2
The Apartment,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",https://www.imdb.com/title/tt0053604/,1960,8.2
Double Indemnity,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",https://www.imdb.com/title/tt0036775/,1944,8.2
To Kill a Mockingbird,"Robert Mulligan (dir.), Gregory Peck, John Megna",https://www.imdb.com/title/tt0056592/,1962,8.2
Up,"Pete Docter (dir.), Edward Asner, Jordan Nagai",https://www.imdb.com/title/tt1049413/,2009,8.2
Indiana Jones and the Last Crusade,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",https://www.imdb.com/title/tt0097576/,1989,8.2
Heat,"Michael Mann (dir.), Al Pacino, Robert De Niro",https://www.imdb.com/title/tt0113277/,1995,8.2
L.A. Confidential,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",https://www.imdb.com/title/tt0119488/,1997,8.2
